Ano Censo;Número de Vagas Oferecidas;Número de Tipo de Ingressos;Número de Matrículas;Número de Concluintes;Número de Inscritos;Número de Cursos;Nome Região
2017;6075252;2135126;6529681;947606;14605840;33522;BRASIL
2017;554885;208370;607357;89956;1306750;3072;CENTRO-OESTE
2017;1138928;441493;1447248;188730;3804497;6715;NORDESTE
2017;383771;143622;473716;64851;1367659;2513;NORTE
2017;3086636;1026159;3003075;458824;6516557;14861;SUDESTE
2017;911032;315482;998285;145245;1610377;6361;SUL
2016;6180251;2632500;6554283;938732;14407344;32959;BRASIL
2016;554091;264225;606523;85890;1279507;2969;CENTRO-OESTE
2016;1134737;573360;1444368;179953;3827094;6417;NORDESTE
2016;416474;203649;473479;70367;1397271;2475;NORTE
2016;3202510;1181240;3020865;460629;6166490;14849;SUDESTE
2016;872439;410026;1009048;141893;1736982;6249;SUL
2015;5749175;2465751;6633545;916363;15024188;32294;BRASIL
2015;513796;240607;617317;89968;1447738;2886;CENTRO-OESTE
2015;995752;516755;1433406;167894;4059361;6180;NORDESTE
2015;297268;184739;473848;67897;1536018;2427;NORTE
2015;3105225;1144852;3087825;450446;6196092;14614;SUDESTE
2015;837134;378798;1021149;140158;1784979;6187;SUL
2014;5038392;2367401;6486171;837304;14108200;31776;BRASIL
2014;469341;232673;611927;79274;1210613;2801;CENTRO-OESTE
2014;893157;460599;1378920;154726;3615836;6016;NORDESTE
2014;283268;149545;450844;56786;1454085;2409;NORTE
2014;2659977;1181028;3048811;410939;6081265;14451;SUDESTE
2014;732649;343556;995669;135579;1746401;6099;SUL
2013;4062474;2227545;6152405;829938;12365753;30976;BRASIL
2013;362212;226280;575515;77539;1064282;2707;CENTRO-OESTE
2013;723326;425104;1287552;149370;3156889;5709;NORDESTE
2013;229728;135416;423565;53357;1088168;2307;NORTE
2013;2109240;1109126;2903089;418513;5514733;14240;SUDESTE
2013;637968;331619;962684;131159;1541681;6013;SUL
2012;3324407;2204456;5923838;876091;10927775;30862;BRASIL
2012;303363;211728;547768;83971;926665;2629;CENTRO-OESTE
2012;560293;402677;1213519;148800;3100919;5547;NORDESTE
2012;187297;138852;404727;51382;860349;2340;NORTE
2012;1806651;1118111;2816086;456283;4718554;14416;SUDESTE
2012;466803;333088;941738;135655;1321288;5930;SUL
2011;3228671;1923927;5746762;865161;9166587;29506;BRASIL
2011;;1923927;0;0;;;* EXTERIOR
2011;308484;;537006;81242;833043;2595;CENTRO-OESTE
2011;524703;;1138958;148141;2312190;5075;NORDESTE
2011;172864;;385717;54806;728336;2192;NORTE
2011;1776263;;2755635;445615;4147256;13874;SUDESTE
2011;446357;;929446;135357;1145762;5770;SUL
2010;3120192;1590650;5449120;829286;6698902;28675;BRASIL
2010;;1590650;0;0;;;* EXTERIOR
2010;329779;;495240;70599;668667;2531;CENTRO-OESTE
2010;500771;;1052161;133834;1619378;4897;NORDESTE
2010;157545;;352358;44679;476210;2066;NORTE
2010;1693968;;2656231;447369;3065143;13575;SUDESTE
2010;438129;;893130;132805;869504;5606;SUL
2009;3526933;1732613;5115896;826928;7194677;27827;BRASIL
2009;12541;;0;0;14471;;* EXTERIOR
2009;335822;167024;453787;68359;616115;2504;CENTRO-OESTE
2009;515028;294711;965502;130829;1508888;4655;NORDESTE
2009;193168;105915;313959;43592;499657;2004;NORTE
2009;1998509;891797;2516712;447811;3764394;13278;SUDESTE
2009;471865;273166;865936;136337;791152;5386;SUL